"reviewId","resId","review","stars","reviewDate","resId","resName","numReviews","resAddress","resCat","yelpUrl","rating"
"1","121","I had the most wonderful experience at this restaurant! Tim, the owner, had an excellent wine special by the glass that paired perfectly with my starter of  meatballs in a hearty marinara sauce.  The meatballs were so delectable! I appreciated the option of more Parmesan, fresh cracked pepper and red chili flakes throughout my meal as I like things a little spicy. For the next course I had the Pomodoro Caprese and the tomatoes tasted so very fresh! The mozzarella, olive oil, balsamic and basil were top quality which all together made this delicious!For my main course I had the Carbonara and if you are a fan of this creamy pasta dish with egg and panceta it does not disappoint. To finish off my meal I had the in house made tiramisu and some limoncello.  It was the perfect ending to a perfect meal. Tim and his staff have definitely got the right vibe in this Ristorante Italiano with great conversation, fantastic wine and food and a comforting overall ambience.  I will be back!","5","10/16/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"2","121","We celebrated our friend's birthday here for dinner last weekend. The restaurant was able to accommodate our large group fairly well.I enjoyed the burrata appetizer - it was my first time trying burrata, and I thought it was good (though I have nothing to compare it with). I ordered the pasta special of the night, and got to try a little bite of my friends' pasta dishes. For all the pasta dishes I tried, I think they were good but not particularly amazing.What stood out for me the most was Tim, who served us that night. He was extremely energetic, joyful, quick, and funny. He handled our large group with grace. I really appreciated the extra effort he put into giving us a positive experience!","4","11/7/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"3","121","Had a weekday dinner here, based on reviews from other Yelpers. We were not disappointed. The menu had a great selection, and the food we ordered was tasty. I had a vegetarian pasta dish and he had a seafood pasta special. The portion size is very generous for the amount of each dish. The wine menu was decent and the service was very good. Our only complaint was that the vanilla gelato tasted more like ice cream than actual gelato, so that was a bit frustrating.","4","10/20/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"4","121","My husband loved his salmon pasta with lemon butter, capers and white wine sauce $29.  I had the lasagna but lil too cheesy and very little meat or marinara sauce to relish on $14.  The bread was actually bland but was improved by dipping it in balsamic vinegar and olio.  Yet, if their entrees are this delish, then the bread should match the food quality.  I highly recommend they try a better recipe or buy better tasting bread.  I am a bread fanatic and unwarranted and unofficial bread connoisseur so if I dont like the bread, then the rest of the meal we be subpar automatically.","4","9/28/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"5","121","April of this year when I went to Brunello. I had gnocchi with marinara sauce, which is one of my favorite dishes. It was delicious! I am all about sauce and this dish had it. The sauce was plentiful and tasty. The gnocchi was on point. If you're in the Roosevelt neighborhood, I would definitely make sure to give this Italian restaurant a try.Accessibility: This place is accessible. There are no steps to get in nor any booths to worry about. It will be a tight squeeze when it is busy though. The flooring is raised tiles so it may be bumpy for any wheelchair users. I do not remember the washroom situation. I would inquire.","5","10/15/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"6","121","Food: 9/10 (Seafoods are fresh, not too spicy, everything taste perfect! But the pasta is a little salty.  Environment: 10/10 (great to sit outside when it's sunny and enjoy some wine) Service: 10/10","5","6/17/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"7","121","My Wife and I just got back from an Beautiful enjoyable evening here. The restaurant is very warm and pleasantly decorated and we enjoyed excellent service throughout our meal. The Prosciutto starter we got was phenomenal; salty and creamy and drizzled with a really beautiful olive oil. My Wife had the Frutti de Mari and we both agreed it was the best  food either of us had ever gotten. I went for A piece New York Steak, which was a bit of a gamble for me, since I often find Steak at restaurants to be a bit of a hit-or-miss situation. My wife loved his tiramisu, which is made in-house, and I enjoyed a really lovely bowl of spumoni. The  restaurant very good service.","5","11/13/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"8","121","It was our first time there and we will definitely return! Warm atmosphere, great food and friendly staff. Last night they had lobster spaghetti as a special dish(with saffron)--yum!","5","10/24/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"9","121","We came here as it was a short drive from our Airbnb. Delicious food! Free street parking, friendly staff, quiet atmosphere, any pasta dish can be made as a half portion for children","5","9/28/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"10","121","This place has become a fast favorite of mine! The service is absolutely amazing, the owner is super charismatic and takes the time to actually get to know his customers making the experience something else. The food is fantastic to boot! I especially love their homemade Gnocchi Gorgonzola.","5","10/1/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"11","121","The Gorgonzola penne is the BEST and that is all. Yelp needs me to write more - but truly, just have that. it's salty, creamy, heavy, hearty and so damn decadent. And I love the restaurants local-feel and very personal customer service :) I'm grateful to live in the area!","5","10/21/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"12","121","A lovely neighborhood Italian restaurant. String lights outside and a rustic Italian feel on the inside. The staff is always very attentive. I've been here twice for date night and enjoyed all the dishes I had  - Gorgonzola sauce pasta and the seafood pasta special were both a delight!  They bring out a nice basket of bread which tastes great. My seafood dish had plenty of seafood which made me happy. :)","4","9/11/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"13","121","I'm giving this place a 3.5/5 just by the food. It's a small mom and pops kind of Italian restaurant which kind of makes you feel at home. The staff and waiters are super friendly and will make sure your water is never empty! Spectacular service. It was nice of them to offer all the dinner specials in a very well manner. The food was just okay. I'm from Los Angeles and I was being too harsh comparing it to my favorite Italian restaurant back home. I got the spaghetti bolognese and fettuccini pesto. Both were a bit bland in my opinion. Meatballs were tasty though! Overall, this is a nice date spot! They have plenty of wine options as well. Bye Seattle!","4","5/2/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"14","121","We love love love this quaint little neighborhood restaurant.  The staff aims to please and it has become our go to for big visiting groups and small intimate dinners.  There us something on the menu for everyone even the most careful eaters.  Their homemade gnocchi with Gorgonzola is to die for as are the garlic prawns. They also have a great and interesting wine selection.","5","10/18/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"15","121","Okay, on the real, I want the homemade gorgonzola gnocchi with grilled chicken to be the last meal I have before I die.  For me to feel this way about an Uber eats delivery meal, makes me wonder about how much better this meal still could've been had I eaten in house. I think I would have just died in my seat at the restaurant had it tasted any better than it already did....I mean, my life would've been complete at that point.  In case you need any more perspective, I'm laying in bed at 6am writing this review, and I'm seriously counting down the hours before this little piece of heaven opens back up, so that I can re-order something else.  I can't speak about the service, or the ambiance of the restaurant and it's not like their delivery packaging was super posh or anything, in fact it came in what looked like a bodega plastic bag, but none of that was relevant to how amazing this pasta dish was. And I'm guessing from the other yelp reviews, that both service and ambience are also above average, and I. Cannot. wait. to go in and find out for myself. If you do not try the this place, than I don't know what eto say to you other than, your simply not living your best life.","5","7/21/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"16","121","I live a few blocks from Brunello and have been three times in the last month. Stumbled across the place with my parents one Saturday evening when moving into my apartment and hungry from assembling furniture all day. All three visits were fantastic; outstanding food (Carbonara, Spaghetti Vongole, Penne Vodka all some of the best I've ever had), great service, and amazing hospitality from everyone up to the owner himself. Food and wine are priced at an extremely desirable and reasonable price point for the serving sizes and quality of food. All three times I have been to Brunello I have arrived on a weekend or Friday evening during peak time and never waited for a table. Loving what this restaurant does and looking forward to being a regular here. 10/10.","5","8/10/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"17","121","Decent Italian fare near UW. Went with a couple of friends early evening. The place was nearly empty, perhaps owning to the time. We sampled pizzas, pastas, and some appetizers. Being from NYC, I'm spoiled when it comes to Italian food. This place is pretty typical of what one would find in most cities. Because we practically had the place to ourselves, service was quick.","4","10/20/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"18","121","I had been at the restaurant that used to be in this location. It was also Italian. That was as much as I can remember about it. Other than that, I don't quite remember how the food or service was.My husband and I had an impromptu date night. We wanted to go to the Crest, but we wanted to eat out before the movie. I suggested this place because I had a hankering for pasta.I tend to expect neighborhood joints to be good at best. And that's sometimes okay if you're, like us, hungry and desperate.Look, I'm not saying this like being in Italy. But the food was pretty good. I generally don't love Italian-American cuisine because it tends to be too cheesy. This place served food that was between Jersey Italian-American and artisanal regional Italian cuisine if that makes sense. Like they at least have the decency not to batter and fry their calamari... But they do have your heavy sauces if you want your pasta that way. We enjoyed our pasta dishes and the service was very warm. It's not the cheapest meal but was quite reasonable everything considered.For specifics: I'm not sure how I feel about the bread. It's served warm (which was fantastic!) but I just wish it has a little bit more crust and bite. The pasta we had was al dente and the sauces had a pretty good balance. I ordered the penne vodka while my husband ordered the linguini vongole. The penne vodka was good but was missing... Something. I asked for a side of parsley and was given some chiffonade basil lol that actually worked! It just needed a little brightness to balance the heavy creaminess of it. My husband enjoyed his dish but said it was also missing something. It was just a little bit of sauce.Overall, we would come back.","4","3/27/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"19","121","Came here for my birthday, and the food, wine, and service were excellent! Really enjoyed the casual and relaxing ambiance. Can't wait to go back to try more dishes.","5","8/13/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"20","121","Love the service here! Me and my fiancée have been to Italy and this is the real deal. The people are wonderful and the food is delicious! We love the special pappardelle with boar which we ordered again last night! My favorite-amazing noodles and you can tell they are fresh. Wish I would have found this place sooner!","5","7/8/2019","121","Brunello Ristorante","186 reviews","7115 Roosevelt Way NE","Italian","http://yelp.com/biz/brunello-ristorante-seattle","4"
"21","122","One liner - Left me thinking, "I want some more still".Date visited - 10/27/19Mood going in...Reminiscent - I haven't been to the university district of Seattle in 3 years.Reasons to go...1. The spanish fly; the arugula and proscuitto combo is just perfect. Sharp taste from the arugula and fatty deliciousness from the pork make for the ultimate contrast.2. Floral essence complimentary water3. The best brunch around University of WashingtonReasons not to go...1. You don't like biscuits? But who doesn't like a perfectly fluffy biscuit???????Three takeaways/tips...1. A quick gourmet biscuit sandwich that is unbeatable and on the fly.2. Quick service - got my to go sammie in less than 10 mins.3. Buy and rep the merch!","5","10/31/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
"22","122","Though I loved Morsel the first time I visited, I'm afraid that I won't be returning until crowd control issues are addressed.This past weekend, my partner came to visit me in Seattle. His one request was going back to Morsel to get the biscuits and gravy that he gotten during his last visit. When we arrived at about 9:30AM on Sunday, we were surprised to see a long line that stretched outside, but figured it would move pretty quickly given that Morsel is a fast-casual restaurant. We were wrong. Despite the fact that the line was only ~15 people, it took us 40 minutes to order. This included about 25 minutes of waiting outside in the cold. When we finally reached the counter, we realized that the line was so delayed because the staff were halting orders until additional seating opened up. While I understand the value in doing this, it was not done effectively. There were multiple customers who overstayed at their tables after already consuming their meals. While we waited in the cold for 25 minutes, a customer sat inside working at a laptop, and another sat inside reading a book. Though we arrived at 9:30, we were not able to order until 10:10. Due to another engagement at 10:30, we ended up having to order our biscuits to-go and my partner was unable to have the biscuits and gravy that he had been craving.Disappointing.","2","11/5/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
"23","122","I never thought biscuits could taste so good!!! I was looking for breakfast places in the area and saw this had pretty high reviews and it was next door to YiFang Tea, which I thought was perfect because I wanted to try there afterwards. Is that a sign or what? Their menu was simple: Choose a biscuit and the filling you want OR you can choose a biscuit sandwich. I decided to get the Spanish Fly on a Chive Cheddar Biscuit and share the Biscuits & Gravy with Sun Dried Tomato Basil Biscuit with my friend. Their prices already include tax, how convenient Once you order, that's when you can grab a table. It gets pretty packed but people eat fairly quick so you easily grab a table. They call your name and then you grab your food. It looks and smells so amazing but that first bite of the sandwich, holy smokes, it was so delicious! I loved everything about it but I think what really made it so addicting was the pepper aioli that tied all the ingredients together. The Biscuits & Gravy was good as well but I would definitely come back for that sandwich. Oh how I wish we had something like this back in Hawaii","4","10/8/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
"24","122","While we were waiting for A recent appointment at a nearby hospital, we decided to go grab a lunch on the go. We've been eyeing this place for sometime and we're glad to finally get a chance to check it out!Located on University Way, just north of 50th, it is easy to get to as just about anywhere else on the Avenue.There's a good amount of parking out front, including some 15 minute parking which means you can usually find somewhere to park - big plus!The primary offerings here are biscuit centric and are downright awesome! They have standard biscuits like buttermilk and cheddar chive, as well as specialty ones. It was unclear to me if they were changing every day or just intermittently, either way they were awesome! We ended up getting the fast break on a cheddar chive biscuit and a daily special which included egg, a marinara type sauce and cheese on a pepper biscuit. I got both of them to go in the additional few minutes of marinating in their own juices need him even more delicious!I grabbed an extra normal buttermilk biscuit because we felt like we needed to try it - right choice!Call folks working here are super laid-back and the place is got a really chill vibe to it. It's great to dine in or take stuff to go, either way you will leave happy!If you're in the university district and need something for breakfast, brunch for whatever you enjoy biscuits, this is definitely a place you should try!","5","9/30/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
"25","122","I stopped by Morsel for a quick breakfast with a friend and loved it! We came in early on a Friday morning right about opening and were greeted with the intoxicating scent of biscuits.We both ordered the Spanish Fly and were very happy with it. Two perfectly crispy and soft biscuits with prosciutto, a fried egg, manchego, and arugula sandwiched in between. In fact, my largest complaint was that I could barely fit my biscuit sandwich in my mouth! The sandwich was perfectly balanced in flavor.Would definitely come back again for more biscuits! As an added bonus, they also compost so that's super neat.","5","9/18/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
"26","122","This is such a good place for a quick snack or breakfast. The portion sizes are perfect and the service is fast.I got the cheesy biscuit with Mama Lil's Peppers biscuits. It was SO good... the Beecher's cheese just tastes amazing. What an amazing choice of cheese!!! The garlic butter is so rich... The biscuits are so soft, fluffy, and flavorful... It was perfectly seasoned and balanced. The housemade tomato jam is also a nice topping! I also had a bite of my girlfriend's "The Fast Break" and it's really good. The bacon and egg go well with the biscuit. I don't think you can go wrong with any of the options here, but my favorite for now is the cheesy biscuit.","5","9/30/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
"27","122","Sweet location with easy street parking on a summer weekday and even better that one doesn't need to pay.  I love the open interior and the booths.  It is great that they have a gluten free biscuit option and my little person really enjoyed it.  The goat cheese sandwich was delectable and added an egg.  If I was attending school here I would be stopping here weekly!","5","7/22/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
"28","122","This is our first time in Seattle and brother in law introduced us to this! The place was very crowded but service was efficient so it wasnt that long of a wait for me. It was a sunday at around 10am so I was expecting it to be a long line Anyway. The cashier was friendly so kudos on good customer service! the actual review on the FOOD: It was amazing! If you're not a biscuit fan this is definitely a game changer! Biscuit itself was not dry at all, it was very flavorful and the have a variety of sweet and savory biscuits and sandwiches. The teas were alright as well. we got the first two sammies on the menu: the fast break and spanish fly! Then we got a regular buttermilk biscuit with chocolate hazelnut butter (tasted like melted ferrero! omg that was such a treat!!) I apologize for the lack of photos we literally ate everything so quick!)","5","6/23/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
"29","122","I think I had the best biscuit I've ever had (ever) at Morsel for breakfast this morning. Staff was super friendly, and their coffee was really good. I got the cheddar + chive biscuit with scrambled eggs, tomato jam and bacon. So good! 10/10 would recommend.","5","9/5/2019","122","Morsel","961 reviews","5000 University Way NE","Coffee & Tea","http://yelp.com/biz/morsel-seattle","4"
